artwork_id,artist_id,artist_name,title,year,technique,inventory_number,image_width_cm,image_height_cm,frame_width_cm,frame_height_cm,is_available,loaned_until,thumbnail_url,full_image_url,first_seen_at,last_seen_at,last_updated_at
1674,1445,Anton Reinthaler,Lux fulgebit,2009,"Papier, Acryl/Leinwand",875,75,80,,,False,09.10.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=1674&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=1674,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
13773,1453,Karl Grausgruber,ohne Titel,2002,"Graphit, Folie/Transparentpapier",6326,50,70,64,84,True,,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=13773&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=13773,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
6204,748,Josef Linschinger,"ohne Titel (aus der Mappe ""Kunst in Europa - EU - Portfolio"")",1998,Serigrafie/Papier,5780,58.5,58.5,84,64,False,29.10.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=6204&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=6204,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
1123,760,Ingrid Pröller,Landschaften,2002,Öl/Leinwand,448,90,70,,,True,,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=1123&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=1123,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
3524,638,Martin Staufner,Linzer Kipferl,2004,"Radierung, Aquatinta/Kupferdruckbütten",3363,28,21.5,67,52,True,,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=3524&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=3524,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
14978,967,Herbert Hiesmayr,Mühlviertler Landschaft,undatiert,Öl/Leinwand,7849,111,84.5,113.7,88.5,True,,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=14978&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=14978,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
3393,1711,Franz Fischbacher,Vor dem Gewitter,1977,Mischtechnik/Papier,3271,83.5,56.5,104,74,False,03.09.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=3393&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=3393,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
10712,1418,Marina Koraiman,body form VII (Serie),2008,Kreide/Papier,7135,42,59,,,False,29.07.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=10712&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=10712,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
21915,1889,Ingrid Tragler,ohne Titel (Serie: Faltung),2022,Experimenteller Siebdruck/Baumwolle,8286,120,90,,,False,19.05.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=21915&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=21915,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
6477,715,Christian Ludwig Attersee,Regengeburt,2013,Mischtechnik/Karton,5279,22,31.5,52,67,False,29.10.2026,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet?id=6477&thumb=J,https://www.diekunstsammlung.at/InternetKunstsammlung/internetneu/ImageCelumServlet/xxx.jpg?id=6477,2026-05-03T07:42:24Z,2026-05-10T15:48:25Z,2026-05-03T07:48:42Z
